name,insee,surface,artif_before_2009,artif_2009,artif_2010,artif_2011,artif_2012,artif_2013,artif_2014,artif_2015,artif_2016,artif_2017,artif_2018
ANDERNOS-LES-BAINS,33005,2051.6,740.65,7.04,5.45,14.71,5.40,4.20,6.71,5.58,6.51,6.33,4.36
ARCACHON,33011,769.7,491.28,2.22,4.95,1.32,1.98,2.02,1.05,1.59,6.24,2.37,1.41
ARES,33009,4903.2,394.51,4.74,7.42,3.86,4.07,5.11,10.85,3.00,6.39,2.53,2.03
AUDENGE,33019,8185.2,518.38,4.00,5.62,5.83,5.38,4.55,6.90,7.65,7.95,7.75,5.45
BELIN-BELIET,33042,15595,388.74,7.52,3.70,10.93,6.11,11.73,8.00,4.70,6.67,6.26,8.54
BIGANOS,33051,5112.2,644.37,9.97,8.62,13.43,12.69,6.35,9.41,6.27,8.73,4.60,3.26
GUJAN-MESTRAS,33199,5054.6,1940.77,7.74,7.74,10.16,10.12,14.34,6.60,8.71,9.91,13.42,8.12
LA TESTE-DE-BUCH,33236,17676.1,1718.78,12.01,11.33,9.45,9.94,18.11,29.76,15.77,10.58,15.85,12.21
LANTON,33529,13756.8,488.49,3.81,4.01,5.12,6.09,4.76,3.36,1.96,2.90,1.96,2.67
LE BARP,33229,10737.4,361.33,3.77,5.92,4.69,5.60,7.31,3.30,3.16,5.10,1.81,2.22
LE TEICH,33029,8593.9,379.38,4.00,4.64,4.83,7.24,5.36,3.31,5.36,6.74,5.01,4.62
LEGE-CAP-FERRET,33527,9549.1,1250.64,13.29,8.01,8.28,6.56,11.78,10.95,11.70,10.00,7.85,5.91
LUGOS,33260,6229.4,107.51,0.95,1.15,0.76,0.44,0.47,0.79,0.64,0.75,1.45,1.61
MARCHEPRIME,33555,2464.2,238.64,3.86,4.88,3.02,2.66,0.93,1.69,2.76,0.92,3.73,1.90
MIOS,33284,13721.8,643.12,11.76,12.00,15.04,15.59,17.28,12.21,9.97,12.68,18.23,13.93
SAINT-MAGNE,33436,8294.3,79.99,0.39,1.03,0.83,0.74,0.14,0.27,0.00,0.66,1.43,0.95
SALLES,33498,13820.4,640.59,8.45,6.21,8.92,8.59,7.70,7.26,5.25,8.07,10.87,10.29
