id,code_prefix,code,label,map_color,parent
24,CS1,1,Sans végétation,#ff377a,
25,CS1.1,1.1,Surfaces anthropisées,#ff377a,24
26,CS1.1.1,1.1.1,Zones imperméables,#ff377a,25
27,CS1.1.1.1,1.1.1.1,Zones bâties,#ff377a,26
28,CS1.1.1.2,1.1.1.2,Zones non bâties (Routes; places; parking…),#ff9191,26
29,CS1.1.2,1.1.2,Zones perméables,#ff9,25
30,CS1.1.2.1,1.1.2.1,Zones à matériaux minéraux,#ff9,29
31,CS1.1.2.2,1.1.2.2,Zones à autres matériaux composites,#a64d00,29
32,CS1.2,1.2,Surfaces naturelles,#ccc,24
33,CS1.2.1,1.2.1,Sols nus (Sable; pierres meubles; rochers saillants; …),#ccc,32
34,CS1.2.2,1.2.2,Surfaces d'eau (Eau continentale et maritime),#00ccf2,32
35,CS1.2.3,1.2.3,Névés et glaciers,#a6e6cc,32
36,CS2,2,Avec végétation,#80ff00,
37,CS2.1,2.1,Végétation ligneuse,#80ff00,36
38,CS2.1.1,2.1.1,Formations arborées,#80be00,37
39,CS2.1.1.1,2.1.1.1,Peuplement de feuillus,#80ff00,38
40,CS2.1.1.2,2.1.1.2,Peuplement de conifères,#00a600,38
41,CS2.1.1.3,2.1.1.3,Peuplement mixte,#80be00,38
42,CS2.1.2,2.1.2,Formations arbustives et sous-arbrisseaux (Landes basses; formations arbustives; formations arbustives organisées; …),#a6ff80,37
43,CS2.1.3,2.1.3,Autres formations ligneuses (Vignes et autres lianes),#e68000,37
44,CS2.2,2.2,Végétation non ligneuse,#ccf24d,36
45,CS2.2.1,2.2.1,Formations herbacées (Pelouses et prairies; terres arables; roselières; …),#ccf24d,44
46,CS2.2.2,2.2.2,Autres formations non ligneuses (Lichen; mousse; bananiers; bambous; ...),#cfc,44
